               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.017208,            0.032328,           0.0015243,             0.99958,             0.99949,               0.995,             0.96924,            0.010703,            0.027877,           0.0012155,            0.005644,            0.005644,            0.005644
                  90,            0.017004,            0.032537,           0.0015444,             0.99961,              0.9996,               0.995,             0.96964,            0.010671,            0.027655,           0.0012257,           0.0055945,           0.0055945,           0.0055945
                  91,            0.017161,            0.032283,           0.0015472,             0.99979,             0.99973,               0.995,             0.96877,            0.010709,             0.02785,           0.0012316,            0.005545,            0.005545,            0.005545
                  92,            0.016889,            0.031757,           0.0015447,             0.99966,             0.99965,             0.99498,              0.9677,            0.010764,            0.027997,           0.0011834,           0.0054955,           0.0054955,           0.0054955
                  93,            0.016645,             0.03165,           0.0015165,             0.99961,             0.99963,             0.99499,             0.96971,            0.010612,            0.027319,           0.0011888,            0.005446,            0.005446,            0.005446
                  94,            0.016851,            0.032252,           0.0015232,             0.99968,              0.9997,             0.99499,             0.96975,            0.010591,            0.027274,           0.0011914,           0.0053965,           0.0053965,           0.0053965
                  95,             0.01675,            0.032067,           0.0015241,              0.9996,             0.99973,             0.99499,             0.96902,            0.010731,            0.027617,           0.0011868,            0.005347,            0.005347,            0.005347
                  96,            0.016708,            0.031434,           0.0015653,              0.9997,             0.99972,               0.995,               0.968,             0.01068,             0.02767,           0.0012046,           0.0052975,           0.0052975,           0.0052975
                  97,            0.016838,             0.03198,           0.0015301,             0.99971,             0.99961,             0.99499,              0.9693,             0.01056,            0.027281,           0.0011832,            0.005248,            0.005248,            0.005248
                  98,            0.016499,            0.031253,           0.0015137,             0.99962,              0.9998,               0.995,             0.97039,            0.010627,            0.027157,           0.0012006,           0.0051985,           0.0051985,           0.0051985
                  99,            0.016386,            0.030788,            0.001503,             0.99976,             0.99965,               0.995,             0.96998,            0.010633,            0.027313,           0.0011865,            0.005149,            0.005149,            0.005149
                 100,            0.016493,            0.031099,           0.0014926,              0.9997,             0.99961,               0.995,             0.97037,            0.010594,            0.027208,            0.001173,           0.0050995,           0.0050995,           0.0050995
                 101,            0.016358,            0.031016,           0.0014891,             0.99972,             0.99978,               0.995,             0.96964,            0.010548,            0.027377,           0.0011701,             0.00505,             0.00505,             0.00505
                 102,            0.016298,            0.030989,            0.001502,             0.99983,             0.99978,               0.995,             0.97082,            0.010514,            0.027243,           0.0011501,           0.0050005,           0.0050005,           0.0050005
                 103,            0.016229,            0.030435,           0.0015047,             0.99978,             0.99964,               0.995,             0.96902,            0.010571,             0.02758,           0.0011538,            0.004951,            0.004951,            0.004951
                 104,            0.016253,            0.030871,           0.0014764,             0.99966,             0.99958,             0.99499,             0.96969,            0.010525,            0.027436,           0.0011436,           0.0049015,           0.0049015,           0.0049015
                 105,            0.016423,            0.030848,            0.001496,             0.99975,             0.99976,               0.995,             0.97037,            0.010484,            0.027355,           0.0011335,            0.004852,            0.004852,            0.004852
                 106,            0.016283,            0.030602,           0.0014595,              0.9996,             0.99987,               0.995,             0.96926,            0.010539,            0.027399,           0.0011464,           0.0048025,           0.0048025,           0.0048025
                 107,            0.016036,            0.030297,           0.0014396,              0.9997,             0.99981,               0.995,             0.96895,            0.010513,            0.027451,           0.0011365,            0.004753,            0.004753,            0.004753
                 108,            0.016034,            0.030098,           0.0014509,             0.99981,             0.99977,               0.995,             0.96807,            0.010574,            0.027759,           0.0011185,           0.0047035,           0.0047035,           0.0047035
                 109,            0.016096,            0.029937,           0.0014526,             0.99982,             0.99972,               0.995,             0.97169,             0.01043,             0.02705,           0.0011164,            0.004654,            0.004654,            0.004654
                 110,            0.016076,            0.029596,           0.0014727,             0.99986,             0.99966,               0.995,              0.9703,            0.010474,            0.027118,           0.0011115,           0.0046045,           0.0046045,           0.0046045
                 111,            0.015873,            0.029908,           0.0014359,             0.99983,             0.99978,               0.995,              0.9711,             0.01045,            0.027011,           0.0011061,            0.004555,            0.004555,            0.004555
                 112,            0.015789,             0.03011,           0.0014481,             0.99983,             0.99976,               0.995,             0.96966,            0.010527,            0.027211,           0.0011019,           0.0045055,           0.0045055,           0.0045055
                 113,            0.015607,             0.02944,           0.0014199,             0.99982,             0.99977,               0.995,             0.96923,            0.010562,            0.027372,             0.00112,            0.004456,            0.004456,            0.004456
                 114,            0.015677,            0.029482,           0.0014069,             0.99981,             0.99967,               0.995,             0.96903,            0.010558,            0.027354,           0.0010816,           0.0044065,           0.0044065,           0.0044065
